"Project.Name","UNIT","SEARCH.AREA","Time","Date","EASTING","NORTHING","MolluskCode","ScientificName","Type","CommonName","Count"
"Nehalem","31-2","SA13",2011-10-26 15:45:00,2011-10-26,"492716",5079346,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA13",2011-10-26 15:45:00,2011-10-26,"492716",5079346,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA14",2011-10-26 15:00:00,2011-10-26,"492746",5079261,"CRGE","Cryptomastix germana","Snail","Pygmy oregonian snail","1"
"Nehalem","31-2","SA14",2011-10-26 15:00:00,2011-10-26,"492746",5079261,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA15",2011-10-26 14:00:00,2011-10-26,"492590",5079279,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","5"
"Nehalem","31-2","SA15",2011-10-26 14:00:00,2011-10-26,"492590",5079279,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","4"
"Nehalem","31-2","SA16",2011-11-02 12:00:00,2011-11-02,"492573",5079439,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA16",2011-11-02 12:00:00,2011-11-02,"492573",5079439,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA16",2011-11-02 12:00:00,2011-11-02,"492573",5079439,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","31-2","SA17",2011-11-02 11:15:00,2011-11-02,"492560",5079576,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA17",2011-11-02 11:15:00,2011-11-02,"492560",5079576,"PRDU","Prophysaon dubium","Slug","Papillose Taildropper slug","2"
"Nehalem","31-2","SA18",2011-11-02 14:30:00,2011-11-02,"492440",5079555,"PRDU","Prophysaon dubium","Slug","Papillose Taildropper slug","1"
"Nehalem","31-2","SA18",2011-11-02 14:30:00,2011-11-02,"492440",5079555,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","31-2","SA19",2011-11-02 12:45:00,2011-11-02,"492472",5079463,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","3"
"Nehalem","31-2","SA19",2011-11-02 12:45:00,2011-11-02,"492472",5079463,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA2",2011-11-01 09:30:00,2011-11-01,"492696",5080387,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA2",2011-11-01 09:30:00,2011-11-01,"492696",5080387,"MEHE","Megomphix hemphilli","Snail","Oregon megomphix snail","2"
"Nehalem","31-2","SA2",2011-11-01 09:30:00,2011-11-01,"492696",5080387,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA20",2011-10-26 13:15:00,2011-10-26,"492428",5079329,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA20",2011-10-26 13:15:00,2011-10-26,"492428",5079329,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA21",2011-10-26 12:30:00,2011-10-26,"492321",5079287,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA22",2011-10-26 11:45:00,2011-10-26,"492158",5079298,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-2","SA22",2011-10-26 11:45:00,2011-10-26,"492158",5079298,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","31-2","SA23",2011-10-26 10:30:00,2011-10-26,"492115",5079395,"PRAN","Prophysaon andersoni","Slug","Reticulate Taildropper slug","1"
"Nehalem","31-2","SA24",2011-11-02 13:45:00,2011-11-02,"492308",5079422,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA24",2011-11-02 13:45:00,2011-11-02,"492308",5079422,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","31-2","SA25",2011-10-25 17:15:00,2011-10-25,"492196",5079478,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-2","SA26",2011-10-25 16:30:00,2011-10-25,"492074",5079607,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-2","SA27",2011-10-25 15:45:00,2011-10-25,"492055",5079730,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-2","SA27",2011-10-25 15:45:00,2011-10-25,"492055",5079730,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA28",2011-10-25 14:00:00,2011-10-25,"492064",5079842,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","3"
"Nehalem","31-2","SA29",2011-11-02 17:45:00,2011-11-02,"492171",5079793,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA3",2011-11-01 17:16:00,2011-11-01,"492721",5080258,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-2","SA3",2011-11-01 17:16:00,2011-11-01,"492721",5080258,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA3",2011-11-01 17:16:00,2011-11-01,"492721",5080258,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA30",2011-11-02 17:00:00,2011-11-02,"492239",5079730,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA30",2011-11-02 17:00:00,2011-11-02,"492239",5079730,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA31",2011-11-02 16:15:00,2011-11-02,"492265",5079652,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA31",2011-11-02 16:15:00,2011-11-02,"492265",5079652,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","4"
"Nehalem","31-2","SA32",2011-11-02 15:15:00,2011-11-02,"492458",5079656,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","2"
"Nehalem","31-2","SA32",2011-11-02 15:15:00,2011-11-02,"492458",5079656,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","3"
"Nehalem","31-2","SA32",2011-11-02 15:15:00,2011-11-02,"492458",5079656,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","3"
"Nehalem","31-2","SA33",2011-11-02 09:15:00,2011-11-02,"492551",5079768,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-2","SA33",2011-11-02 09:15:00,2011-11-02,"492551",5079768,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA33",2011-11-02 09:15:00,2011-11-02,"492551",5079768,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","31-2","SA34",2011-11-02 08:15:00,2011-11-02,"492400",5079826,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","31-2","SA34",2011-11-02 08:15:00,2011-11-02,"492400",5079826,"CRGE","Cryptomastix germana","Snail","Pygmy oregonian snail","2"
"Nehalem","31-2","SA34",2011-11-02 08:15:00,2011-11-02,"492400",5079826,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA34",2011-11-02 08:15:00,2011-11-02,"492400",5079826,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","3"
"Nehalem","31-2","SA35",2011-11-01 15:00:00,2011-11-01,"492524",5079923,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA35",2011-11-01 15:00:00,2011-11-01,"492524",5079923,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","3"
"Nehalem","31-2","SA36",2011-11-01 15:45:00,2011-11-01,"492570",5080007,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","2"
"Nehalem","31-2","SA36",2011-11-01 15:45:00,2011-11-01,"492570",5080007,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA4",2011-11-01 10:30:00,2011-11-01,"492622",5080383,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA4",2011-11-01 10:30:00,2011-11-01,"492622",5080383,"PRST","Pristiloma stearnsi","Snail","Triated tightcoil snail","1"
"Nehalem","31-2","SA4",2011-11-01 10:30:00,2011-11-01,"492622",5080383,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA6",2011-11-01 11:30:00,2011-11-01,"492718",5080159,"HEDR","Hemphillia dromedarius","Slug","Dromedary jumping slug","1"
"Nehalem","31-2","SA7",2011-11-01 12:30:00,2011-11-01,"492697",5080064,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","31-2","SA7",2011-11-01 12:30:00,2011-11-01,"492697",5080064,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA7",2011-11-01 12:30:00,2011-11-01,"492697",5080064,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","4"
"Nehalem","31-2","SA8",2011-11-01 14:00:00,2011-11-01,"492650",5079886,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA8",2011-11-01 14:00:00,2011-11-01,"492650",5079886,"PRFO","Prophysaon foliolatum","Slug","Yellow-bordered Taildropper slug","1"
"Nehalem","31-2","SA8",2011-11-01 14:00:00,2011-11-01,"492650",5079886,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","31-2","SA9",2011-11-01 13:15:00,2011-11-01,"492733",5079894,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","31-2","SA9",2011-11-01 13:15:00,2011-11-01,"492733",5079894,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-1","SA10",2011-11-11 10:30:00,2011-11-11,"493210",5078860,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-1","SA10",2011-11-11 10:30:00,2011-11-11,"493210",5078860,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","2"
"Nehalem","5-1","SA12",2011-11-11 11:15:00,2011-11-11,"493273",5078961,"CRGE","Cryptomastix germana","Snail","Pygmy oregonian snail","1"
"Nehalem","5-1","SA12",2011-11-11 11:15:00,2011-11-11,"493273",5078961,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","5-1","SA13",2011-11-15 07:30:00,2011-11-15,"493127",5078998,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","3"
"Nehalem","5-1","SA13",2011-11-15 07:30:00,2011-11-15,"493127",5078998,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-1","SA14",2011-11-15 08:30:00,2011-11-15,"493011",5078926,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","5-1","SA14",2011-11-15 08:30:00,2011-11-15,"493011",5078926,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-1","SA15",2011-11-15 12:45:00,2011-11-15,"492857",5078911,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-1","SA16",2011-11-15 12:00:00,2011-11-15,"492809",5078761,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-1","SA17",2011-11-15 09:30:00,2011-11-15,"493001",5078837,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-1","SA18",2011-11-15 10:15:00,2011-11-15,"493054",5078758,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","2"
"Nehalem","5-1","SA18",2011-11-15 10:15:00,2011-11-15,"493054",5078758,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-1","SA19",2011-11-11 09:00:00,2011-11-11,"493152",5078639,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","2"
"Nehalem","5-1","SA19",2011-11-11 09:00:00,2011-11-11,"493152",5078639,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-1","SA19",2011-11-11 09:00:00,2011-11-11,"493152",5078639,"MOFI","Monadenia fidelis","Snail","Pacific Sideband snail","1"
"Nehalem","5-1","SA20",2011-11-11 08:15:00,2011-11-11,"493174",5078548,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","5-1","SA20",2011-11-11 08:15:00,2011-11-11,"493174",5078548,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","2"
"Nehalem","5-1","SA20",2011-11-11 08:15:00,2011-11-11,"493174",5078548,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","3"
"Nehalem","5-1","SA21",2011-11-15 11:00:00,2011-11-15,"492937",5078694,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-1","SA21",2011-11-15 11:00:00,2011-11-15,"492937",5078694,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-1","SA22",2011-11-16 11:15:00,2011-11-16,"492817",5078645,"HEDR","Hemphillia dromedarius","Slug","Dromedary jumping slug","1"
"Nehalem","5-1","SA22",2011-11-16 11:15:00,2011-11-16,"492817",5078645,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-1","SA23",2011-11-16 10:30:00,2011-11-16,"495883",5078571,"HEGL","Hemphillia glandulosa","Slug","Warty jumping slug","1"
"Nehalem","5-1","SA23",2011-11-16 10:30:00,2011-11-16,"495883",5078571,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-1","SA24",2011-11-16 09:45:00,2011-11-16,"492825",5078452,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-1","SA24",2011-11-16 09:45:00,2011-11-16,"492825",5078452,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-1","SA24",2011-11-16 09:45:00,2011-11-16,"492825",5078452,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-1","SA25",2011-11-16 09:00:00,2011-11-16,"492884",5078361,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","3"
"Nehalem","5-1","SA26",2011-11-15 16:00:00,2011-11-15,"493028",5079149,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","5-1","SA26",2011-11-15 16:00:00,2011-11-15,"493028",5079149,"HEGL","Hemphillia glandulosa","Slug","Warty jumping slug","2"
"Nehalem","5-1","SA26",2011-11-15 16:00:00,2011-11-15,"493028",5079149,"MOFI","Monadenia fidelis","Snail","Pacific Sideband snail","1"
"Nehalem","5-1","SA27",2011-11-15 15:15:00,2011-11-15,"492873",5079201,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-1","SA27",2011-11-15 15:15:00,2011-11-15,"492873",5079201,"PRAN","Prophysaon andersoni","Slug","Reticulate Taildropper slug","1"
"Nehalem","5-1","SA27",2011-11-15 15:15:00,2011-11-15,"492873",5079201,"PRDU","Prophysaon dubium","Slug","Papillose Taildropper slug","1"
"Nehalem","5-1","SA27",2011-11-15 15:15:00,2011-11-15,"492873",5079201,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-1","SA28",2011-11-15 13:45:00,2011-11-15,"492843",5079021,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-1","SA28",2011-11-15 13:45:00,2011-11-15,"492843",5079021,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-1","SA28",2011-11-15 13:45:00,2011-11-15,"492843",5079021,"PRDU","Prophysaon dubium","Slug","Papillose Taildropper slug","1"
"Nehalem","5-1","SA7",2011-11-11 16:00:00,2011-11-11,"493456",5078155,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-1","SA8",2011-11-11 07:15:00,2011-11-11,"493316",5073593,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","5-1","SA8",2011-11-11 07:15:00,2011-11-11,"493316",5073593,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-1","SA8",2011-11-11 07:15:00,2011-11-11,"493316",5073593,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-1","SA9",2011-11-11 09:45:00,2011-11-11,"493226",5078696,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-2","SA1",2011-11-15 14:20:00,2011-11-15,"492933",5079034,"ALTO","Allogona townsendiana","Snail","Oreogn Forestsnail","3"
"Nehalem","5-2","SA1",2011-11-15 14:20:00,2011-11-15,"492933",5079034,"CRGE","Cryptomastix germana","Snail","Pygmy oregonian snail","2"
"Nehalem","5-2","SA1",2011-11-15 14:20:00,2011-11-15,"492933",5079034,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-2","SA1",2011-11-15 14:20:00,2011-11-15,"492933",5079034,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","2"
"Nehalem","5-2","SA1",2011-11-15 14:20:00,2011-11-15,"492933",5079034,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-2","SA2",2011-11-15 15:45:00,2011-11-15,"493169",5079129,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","5-2","SA2",2011-11-15 15:45:00,2011-11-15,"493169",5079129,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-2","SA3",2011-11-11 12:15:00,2011-11-11,"493375",5079157,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","3"
"Nehalem","5-2","SA3",2011-11-11 12:15:00,2011-11-11,"493375",5079157,"HEGL","Hemphillia glandulosa","Slug","Warty jumping slug","1"
"Nehalem","5-2","SA3",2011-11-11 12:15:00,2011-11-11,"493375",5079157,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","4"
"Nehalem","5-2","SA4",2011-11-11 13:00:00,2011-11-11,"493436",5079071,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-4","SA1",2011-11-16 08:00:00,2011-11-16,"492837",5078145,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-4","SA10",2011-11-10 15:15:00,2011-11-10,"492999",5077795,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","4"
"Nehalem","5-4","SA11",2011-11-10 16:00:00,2011-11-10,"492989",5077654,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","5-4","SA11",2011-11-10 16:00:00,2011-11-10,"492989",5077654,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-4","SA12",2011-11-10 16:45:00,2011-11-10,"493189",5077802,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","3"
"Nehalem","5-4","SA13",2011-11-10 12:45:00,2011-11-10,"493139",5077977,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-4","SA14",2011-11-10 09:45:00,2011-11-10,"493320",5077999,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-4","SA14",2011-11-10 09:45:00,2011-11-10,"493320",5077999,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-4","SA14",2011-11-10 09:45:00,2011-11-10,"493320",5077999,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-4","SA15",2011-11-10 08:45:00,2011-11-10,"493384",5077930,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-4","SA15",2011-11-10 08:45:00,2011-11-10,"493384",5077930,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Nehalem","5-4","SA16",2011-11-10 07:15:00,2011-11-10,"493491",5077862,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","2"
"Nehalem","5-4","SA16",2011-11-10 07:15:00,2011-11-10,"493491",5077862,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","1"
"Nehalem","5-4","SA17",2011-11-10 08:00:00,2011-11-10,"493546",5077970,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-4","SA17",2011-11-10 08:00:00,2011-11-10,"493546",5077970,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","3"
"Nehalem","5-4","SA18",2011-11-10 10:45:00,2011-11-10,"493493",5078066,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-4","SA2",2011-11-14 16:30:00,2011-11-14,"492938",5078102,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","1"
"Nehalem","5-4","SA2",2011-11-14 16:30:00,2011-11-14,"492938",5078102,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","3"
"Nehalem","5-4","SA3",2011-11-10 11:30:00,2011-11-10,"493357",5078110,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","3"
"Nehalem","5-4","SA4",2011-11-10 14:30:00,2011-11-10,"493002",5077903,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Nehalem","5-4","SA4",2011-11-10 14:30:00,2011-11-10,"493002",5077903,"CRGE","Cryptomastix germana","Snail","Pygmy oregonian snail","1"
"Nehalem","5-4","SA4",2011-11-10 14:30:00,2011-11-10,"493002",5077903,"ENES","Ensatina eschscholtzii","Salamander","Ensatina","1"
"Nehalem","5-4","SA4",2011-11-10 14:30:00,2011-11-10,"493002",5077903,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","3"
"Nehalem","5-4","SA5",2011-11-14 15:30:00,2011-11-14,"492854",5078019,"HAsp","Haplotrema sp.","Snail","Unknown member of Haplotrema genus","3"
"Nehalem","5-4","SA6",2011-11-10 13:45:00,2011-11-10,"492980",5078016,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","1"
"Nehalem","5-4","SA7",2011-11-14 14:30:00,2011-11-14,"492822",5077906,"PLVE","Plethodon vehiculum","Salamander","Western redback salamander","1"
"Nehalem","5-4","SA9",2011-11-14 13:00:00,2011-11-14,"492895",5077698,"PRDU","Prophysaon dubium","Slug","Papillose Taildropper slug","2"
"Nehalem","5-4","SA9",2011-11-14 13:00:00,2011-11-14,"492895",5077698,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Roaring Creek","1A","1A-SA001JG-1",2006-06-04 12:00:00,2006-06-04,"475627",5032737,"ANsp","Ancotrema sp.","Snail","Uknown member of Ancotrema genus","2"
"Roaring Creek","1A","1A-SA001JG-1",2006-06-04 12:00:00,2006-06-04,"475627",5032737,"ENES","Ensatina eschscholtzii","Salamander","Ensatina","3"
"Roaring Creek","1A","1A-SA001JG-1",2006-06-04 12:00:00,2006-06-04,"475627",5032737,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","2"
"Roaring Creek","1A","1A-SA001JG-1",2006-06-04 12:00:00,2006-06-04,"475627",5032737,"VECO","Vespericola columbianus","Snail","Northwest Hesperian snail","2"
"Roaring Creek","1A","1A-SA001JG-2",2006-11-19 12:00:00,2006-11-19,"472689",5032777,"ANSP","Ancotrema sportella","Snail","Beaded lancetooth snail","1"
"Roaring Creek","1A","1A-SA001JG-2",2006-11-19 12:00:00,2006-11-19,"472689",5032777,"HAVA","Haplotrema vancouverense","Snail","Robust lancetooth snail","3"
